,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Date
124,Isiro,2.7739,27.616,80.19,47,43,3.38,CD,1611994767
125,Qandala,11.472,49.8728,76.39,57,4,7.72,SO,1611994768
126,Salta,-24.7859,-65.4117,64.4,88,0,1.14,AR,1611994619
127,Zhicheng,30.2956,111.5047,55.99,45,100,3.74,CN,1611994768
128,Kavieng,-2.5744,150.7967,83.46,78,92,14.23,PG,1611994768
129,Hermosillo,29.0667,-110.9667,55.0,81,0,1.01,MX,1611994768
130,Arraial do Cabo,-22.9661,-42.0278,76.01,84,72,23.38,BR,1611994602
131,Cabo San Lucas,22.8909,-109.9124,64.0,83,46,1.99,MX,1611994769
132,Eureka,40.8021,-124.1637,46.99,76,100,3.0,US,1611994740
133,Bundaberg,-24.85,152.35,81.0,65,40,14.97,AU,1611994769
134,Airai,-8.9266,125.4092,64.81,100,100,4.97,TL,1611994769
135,Sakakah,29.9697,40.2064,51.8,46,0,16.11,SA,1611994770
136,East London,-33.0153,27.9116,75.2,78,40,4.61,ZA,1611994770
137,Mashhad,36.297,59.6062,60.8,29,20,6.91,IR,1611994699
138,Raudeberg,61.9875,5.1352,33.01,89,100,13.0,NO,1611994770
139,Hörstel,52.3167,7.5833,32.0,86,75,3.44,DE,1611994770
140,Dikson,73.5069,80.5464,-34.51,84,64,9.24,RU,1611994771
141,Vép,47.2304,16.7225,39.2,87,0,6.91,HU,1611994771
142,Oksbøl,55.6268,8.2876,21.2,86,7,2.3,DK,1611994771
143,Faanui,-16.4833,-151.75,81.32,68,100,6.73,PF,1611994771
144,Saldanha,-33.0117,17.9442,68.58,70,81,10.58,ZA,1611994771
145,La Rioja,42.25,-2.5,48.2,87,20,4.61,ES,1611994772
146,Sandovo,58.4602,36.4128,23.79,97,95,9.93,RU,1611994772
147,Yazman,29.1212,71.7446,76.64,14,0,7.27,PK,1611994772
148,Angoche,-16.2325,39.9086,87.46,60,81,7.38,MZ,1611994682
149,Praia da Vitória,38.7333,-27.0667,62.6,94,75,21.77,PT,1611994772
150,San Quintín,30.4833,-115.95,54.57,68,39,1.45,MX,1611994695
151,Pangody,65.85,74.4859,-36.65,81,11,5.41,RU,1611994773
152,Te Anau,-45.4167,167.7167,56.93,82,0,3.04,NZ,1611994773
153,Iquitos,-3.7481,-73.2472,75.2,94,75,2.3,PE,1611994774
154,Oriximiná,-1.7656,-55.8661,72.73,94,33,3.71,BR,1611994774
155,Clyde River,70.4692,-68.5914,-22.0,76,1,5.75,CA,1611994774
156,Namatanai,-3.6667,152.4333,82.42,80,83,11.83,PG,1611994593
157,Torbay,47.6666,-52.7314,28.99,93,90,18.41,CA,1611994577
158,Plettenberg Bay,-34.0527,23.3716,73.29,56,0,7.4,ZA,1611994775
159,Biloela,-24.4167,150.5,82.29,56,57,15.14,AU,1611994775
160,Sola,-13.8833,167.55,82.74,82,100,20.85,VU,1611994775
